barcode,name,qty,ton theun,rate,thb_price,product_price_convert
25243,7& ????????  5 ???,,,,,113000
8859169900308,8859169900308,,,,,16000
8850425006581,big boom,,,,,4000
8850425005614,big boom,,,,,4000
8850425005607,big boom,,,,,4000
8934677055136,BUB UP,,,,,1000
8850939905431,chupachups,,,,,3000
25631,chy cushion matte,,,,,25000
8851072030417,eco cutton,,,,,18000
25031,ETL 100000 kip,,,,,93000
25027,ETL 20000 kip,,,,,20000
25029,ETL 50000 kip,,,,,47000
8859497303963,filter,,,,,28000
8855011004392,firiz c lime,,,,,2000
8859284600237,friz c grape,,,,,2000
8855011004385,friz c orange,,,,,2000
8855011004415,friz c stawberry,,,,,2000
8855011004408,Friz ?????????,,,,,2000
8992304009204,ganigr,,,,,58000
8850425003191,gussen,,,,,2000
8850092281106,hygiene blooming touch,,,,,27000
8850092283100,hygiene moring fresh,,,,,28000
8850092290030,hygiene rose woter,,,,,28000
8850157100526,jele ACE,,,,,10000
8851123240567,M100??????,,,,,12000
11913,M100?????? 5????,,,,,212000
11914,M150?????? 6??????,,,,,70000
8851123240116,M100????,,,,,9000
01234,M150 ???? /10????,,,,,70000
8851123212267,M150???? 5????,,,,,325000
8851123240697,M150??????,,,,,13000
6970207137028,Mini staplers set,,,,,25000
6974845839689,mnv 50++,,,,,10000
6972947341086,mnv collagen,,,,,19000
6973641461780,mnv??????????,,,,,170000
6972947346289,mnv???????????,,,,,150000
6973641461797,mnv?????????,,,,,170000
8858977011008,moist clear nose  6,,,,,145000
25033,Mphone 10000 kip,,,,,10000
25037,Mphone 100000 kip,,,,,93000
25034,Mphone 5000 kip,,,,,5000
25036,Mphone 50000 kip,,,,,47000
8851123212199,msport,,,,,9000
8851907130206,paper clips,,,,,12000
8850382412050,spy bink,,,,,13000
27389,spy bink 24,,,,,230000
8850382312077,spy black,,,,,13000
27391,spy black 24,,,,,230000
6957871002074,Stapler,,,,,25000
8851907108830,stepler 10,,,,,6000
6925722100507,stepler 369,,,,,13000
8851907106973,sticko note,,,,,15000
8938507472773,superman gummy,,,,,12000
8938507472780,superman gummy,,,,,12000
25039,Unitel 10000 kip,,,,,10000
25041,Unitel 100000 kip,,,,,93000
25040,Unitel 50000 kip,,,,,47000
8858694601902,yofriend,,,,,4000
8858954210523,zero Jelly,,,,,4000
8850175010487,????????????????????,,,,,52000
25915,????  13 ???,,,,,52000
25916,???????  1 ???,,,,,5000
8850094910615,????????????????????? 12????,,,,,781000
8850002907638,??????????????????????,,,,,86000
12377,?????????????????????? 12????,,,,,915000
????????,????????,,,,,4000
?????????,?????????????? 5??? 12 ???,,,,,37000
?????????,??????????,,,,,4000
?????????,??????????  12 ???,,,,,37000
8850367100026,????????????,,,,,50000
8850228000151,??????????????,,,,,13000
8850228011072,?????????????? 4 ????,,,,,236000
11920,?????????????? 6??????,,,,,67000
8850228000106,????????????,,,,,9000
11917,???????????? 10????,,,,,67000
11916,???????????? 5????,,,,,263000
8858135003906,????????????,,,,,16000
8850367100019,????????,,,,,22000
8852114531602,???????,,,,,13000
8852375130200,???? 1 ????,,,,,75000
8852375340012,???????????? 340???,,,,,35000
8852375210117,????????? 200???,,,,,35000
kapi1*12,????????? 75??? 12 ???,,,,,80000
8852375757575,????????????,,,,,8000
25762,?????????,,,,,38000
8850425003214,???????,,,,,4000
13832,??????????????,,,,,38000
8885013131161,???3?? 95???,,,,,12000
25922,????? 1 ???,,,,,3000
25921,????? 10???,,,,,20000
25920,????? 25 ???,,,,,38000
25919,????? 50???,,,,,75000
6971624841123,??????????????????????????? 12 ???,,,,,37000
6971624841123,??????????????????????????? 12 ???,,,,,37000
8859708300651,??????????? 12 ???,,,,,37000
8859708300583,????????????,,,,,4000
8859708300590,???????????? 12 ???,,,,,37000
8859708300613,?????????????,,,,,4000
8859708300620,????????????? 12 ???,,,,,37000
8992304018503,?????????????????????????,,,,,13000
8850434024521,????????????????????????? 6 ???,,,,,55000
8992304056116,???????????????????????,,,,,13000
8850434093817,??????????????????????? 6 ???,,,,,60000
8992304071027,????????????????????????,,,,,13000
8850434093824,???????????????????????? 6 ???,,,,,60000
8992304033919,??????????,,,,,13000
8850434197423,?????????????????????30x????,,,,,19000
8850434047285,??????????????????????? 6 ???,,,,,50000
8901526594511,????????????????????????,,,,,36000
8901526594863,???????????????????????? 6???,,,,,191000
8992304033872,???????????????????,,,,,106000
13850,??????????????????????,,,,,106000
8994993001323,?????????? ?????????,,,,,59000
8992304047435,?????????????????,,,,,60000
8850434128366,?????????????????????????,,,,,13000
8992304094453,????????????????????????? 6 ???,,,,,69000
8992304000010,??????????????????????????,,,,,13000
8850434018384,?????????????????????????? 6 ???,,,,,48000
8850434160281,??????????????????????,,,,,15000
8994993003174,?????????????????????? 6 ???,,,,,79000
8992304078460,???????????????????????,,,,,13000
8992304081989,??????????????????????? 6 ???,,,,,70000
8850434176985,????????????????????,,,,,13000
8850434197416,???????????????????,,,,,17000
8850434182504,????????????????,,,,,19000
8935001871019,??????,,,,,8000
8859513712281,?????????,,,,,20000
8935001859154,???????,,,,,10000
8885013130485,??????????? 45???,,,,,10000
8859448901385,??????? 1 ???,,,,,5000
8859448901378,?????????? 1 ???,,,,,5000
8859448902467,?????????? 25 ???,,,,,85000
8859448902474,?????????? 25 ???,,,,,90000
8859448901361,?????????? 1 ???,,,,,5000
8859448902245,?????????? 25 ???,,,,,90000
8859652700033,???????,,,,,75000
8859652700026,???????,,,,,75000
8859652700019,??????????,,,,,75000
8850124023681,???????? 100 ???,,,,,70000
8850128030029,???????? 200 ???,,,,,95000
745604314954,???????????? 15 ???,,,,,27000
745604314954,???????????? 15 ???,,,,,27000
8850624756478,????????,,,,,8000
8850624395240,?????????,,,,,8000
8850624340998,???????????,,,,,7000
8850624293324,??????????? 6???,,,,,33000
12015,??????????? 8????,,,,,247000
8850624395202,??????????,,,,,7000
8850624395226,?????????????? 6???,,,,,33000
12018,?????????????? 8????,,,,,247000
8850624144343,?????????,,,,,10000
8850624293317,????????? 6???,,,,,35000
8850624756355,??????????,,,,,7000
8850624756362,?????????? 6???,,,,,35000
8850624395202,??????????,,,,,7000
12022,?????????? 6???,,,,,33000
12021,?????????? 8????,,,,,247000
6938462800491,?????????????????????,,,,,4000
6938462800422,????????????????????? 12 ???,,,,,37000
6910289450844,???????????????????????? 12 ???,,,,,37000
6910289450844,???????????????????????? 12 ???,,,,,37000
8850425006987,???????????,,,,,4000
8859708300644,??????????,,,,,4000
8859708300552,????????????????,,,,,4000
8859708300569,????????????????  12 ???,,,,,37000
8859407600441,???????????,,,,,4000
8859407610358,??????????? 12 ???,,,,,37000
8859407600410,?????????,,,,,4000
8859407610327,????????? 12 ???,,,,,37000
8859407600915,??????????????,,,,,4000
8859407610464,?????????????? 12 ???,,,,,37000
8859407601011,??????????,,,,,4000
8859407610488,?????????? 12 ???,,,,,37000
8850180010052,??? 1.9???,,,,,75000
8850180010045,??? 1???,,,,,38000
6933743301667,???????????,,,,,4000
6933743301674,??????????? 12 ???,,,,,37000
?????????,?????????????? 5??? 12 ???,,,,,4000
?????????,?????????????? 5??? 12 ???,,,,,37000
8859334310024,?????????????? 12 ????,,,,,37000
8859334310024,?????????????? 12 ????,,,,,37000
8850718807956,????????????????? 5???,,,,,4000
8850718707706,????????????????? 5??? 12 ???,,,,,37000
8850718804757,???????????????????? 5???,,,,,4000
8850718704750,???????????????????? 5??? 12 ???,,,,,40000
25127,???????? 4000???,,,,,4000
6971624841154,??????????,,,,,4000
8850632609551,??????????,,,,,4000
8850943531282,?????????????,,,,,5000
25926,????????????? 12 ???,,,,,37000
8850309204317,??????????????? 2 ??? 24???,,,,,27000
8859334310000,?????????,,,,,4000
25931,???????????????,,,,,4000
25930,??????????????? 12 ???,,,,,37000
8850943537956,????????????,,,,,4000
8850943537963,???????????? 12 ???,,,,,37000
8935006354036,?????????? 12????,,,,,23000
25255,???????? 12???,,,,,40000
8854458009441,?????,,,,,4000
8854458009441,??????????? 12 ???,,,,,37000
8850425003573,???????,,,,,4000
8850425003580,??????? 12 ???,,,,,37000
8850425000237,????? ???,,,,,4000
8850425000244,????? ??? 12 ???,,,,,37000
8851932115919,????????? ??????? ??????????,,,,,17000
8851932028103,????????? ??????? ??????,,,,,17000
8851932115896,????????? ??????? ????????????,,,,,17000
8851932453776,????????? ???????,,,,,17000
8851932459648,????????????,,,,,17000
6973968621577,?????????,,,,,25000
8850412374433,??????? 5???,,,,,4000
8851727003254,????????? 20???,,,,,17000
8851727003056,?????????????? 20???,,,,,17000
8851727003216,?????????????  5???,,,,,4000
8851727903219,????????????? 5??? 12 ???,,,,,42000
8851727003018,??????????????????  5???,,,,,4000
8851727903011,?????????????????? 5??? 12 ???,,,,,42000
8850424002379,?????? 20???,,,,,15000
8850424000764,?????  5???,,,,,4000
88850424000764,?????  5??? 12 ???,,,,,37000
8850424001679,????? 20???,,,,,15000
8850424000849,??????  5??? 12,,,,,4000
88850424000849,??????  5??? 12 ???,,,,,37000
8850424002096,?????? 20???,,,,,15000
02345,???????????? 12???,,,,,14000
8851932447942,???????????? 1???,,,,,2000
8851932448048,???????????? 24???,,,,,25000
04567,?????????????????? 12???,,,,,14000
8851932300698,?????????????????? 24???,,,,,25000
8851932363747,?????????????????,,,,,2000
25009,????????????????? 12 ???,,,,,25000
12227,????????????????? 12???,,,,,14000
8851932363761,????????????????? 24???,,,,,28000
12225,?????????????????12 ????,,,,,283000
8851932363730,?????????????????,,,,,2000
12229,????????????????? 12 ????,,,,,295000
12231,????????????????? 12???,,,,,14000
25024,????????????????? 12???,,,,,14000
8851932363754,????????????????? 24???,,,,,28000
8851932300681,???????????????????,,,,,2000
12233,??????????????????? 12 ????,,,,,283000
12235,??????????????????? 12???,,,,,14000
12234,??????????????????? 24???,,,,,26000
8851932447935,????????????????????,,,,,2000
12243,???????????????????? 12???,,,,,14000
8851932448031,???????????????????? 24???,,,,,26000
8851932363549,????????????????,,,,,25000
8851932363433,???????????????? 1 ???,,,,,2000
47878,???????????????? 12 ???,,,,,14000
8851932363365,????????????,,,,,2000
12239,???????????? 12???,,,,,14000
12237,???????????? 12????,,,,,283000
8851932363495,???????????? 24???,,,,,26000
8851932411639,????????????????,,,,,2000
12221,???????????????? 12????,,,,,283000
8851932411714,???????????????? 24???,,,,,26000
12223,????????????????12???,,,,,14000
8850144229247,???? 100???,,,,,12000
8850144229223,???? 17???,,,,,4000
24947,???? 17??? 12 ???,,,,,27000
8850144229254,???? 425???,,,,,40000
8850250011026,???? 7 ??? 10 ???,,,,,70000
8850144229261,???? 800???,,,,,72000
8850144206392,???????????????,,,,,5000
8850144059097,??????????????,,,,,5000
8855444004808,??????,,,,,4000
8855444005140,??????,,,,,4000
8855444005379,?????? 12 ???,,,,,37000
8855444005362,?????? 12 ???,,,,,37000
25195,?????????????????????????,,,,,1000
8855790001186,???????,,,,,9000
8850722040134,?????????????100??,,,,,17000
26121,???????,,,,,45000
8850080746792,??????? ???????? 60 ??,,,,,35000
8850080753493,??????????????????????,,,,,34000
68850080753495,?????????????????????? 6???,,,,,196000
6972049993657,?????????????????? 250???,,,,,30000
13849,????????????????????,,,,,50000
13848,????????????????????,,,,,50000
8851427015366,??????????????765??,,,,,56000
8851989080246,???????????????????? 450??,,,,,46000
8851989080109,???????????????????? 170??,,,,,25000
8851989080239,???????????????????? 450??,,,,,46000
8851989082233,???????????????????170??,,,,,30000
8851989080116,????????????????????170??,,,,,26000
8851989080383,????????????????????450??,,,,,46000
6928001828185,?????????????????500??,,,,,35000
6928001828192,??????????????????????500??,,,,,30000
8851932458580,???????????? 2 ???,,,,,95000
8851932331302,??????????????????????????? 190??,,,,,26000
8851932331265,??????????????????????????? 190?? 3???,,,,,67000
13620,??????????????????????????? 450??,,,,,50000
13618,??????????????????????????? 450?? 8 ????,,,,,724000
8851932369367,??????????????????????????? 450??2????,,,,,97000
6956088534378,??????????????????????????? 500??,,,,,50000
8851932369381,?????????????????? 2 ??? 450??,,,,,97000
13633,????????????????????????????,,,,,26000
13632,????????????????????????????190?? 3???,,,,,67000
13624,???????????????????????????? 450??8????,,,,,724000
13631,????????????????????????????,,,,,26000
13630,???????????????????????????? 190?? 3???,,,,,67000
8851932371346,???????????????????????????? 450??2????,,,,,93000
8851932371346,???????????????????????????? 450??2????,,,,,93000
13621,???????????????????????????? 450??8 ????,,,,,724000
6976068957010,?????????????????400??,,,,,30000
6941349361015,???????????????????????400??,,,,,30000
6976068957003,??????????????????400??,,,,,30000
8850006602744,???????????????450??,,,,,53000
8850006603529,????????????????? 450??,,,,,53000
26686,?????????????????? 450??,,,,,53000
8850006939109,??????????????????? 450??,,,,,53000
8850006602768,????????????????????? 450??,,,,,53000
8850002027145,?????????????????????100??,,,,,23000
8850002031463,??????? ?????? 200 ??,,,,,35000
8850002031715,?????????????????????400??,,,,,66000
13839,???????????????,,,,,36000
13840,???????????????,,,,,36000
13841,??????????????????,,,,,36000
8857121333171,????????,,,,,25000
27615,???????? 6 ???,,,,,120000
13842,?????????,,,,,115000
8850002123441,?????????????????,,,,,30000
8850002123410,???????????????,,,,,55000
8850002123403,??????????????? 12 ???,,,,,595000
8850309205932,??????? 2 ??? 24???,,,,,27000
8885013131956,????????? 100??,,,,,10000
8858839619106,??????,,,,,38000
8850006202012,,,,,,32000
8850006911433,???????????? 150???  6????,,,,,175000
8850006911440,????????????? 6 ????,,,,,152000
8850006232019,???????? 150???,,,,,32000
8850006272015,????????????????????? 150???,,,,,32000
8850006911556,????????????????????? 150???  6????,,,,,185000
8850006917060,????????? 6????,,,,,178000
8850006341544,????????????????? 150???,,,,,35000
8850006925058,????????????????? 150???  6????,,,,,195000
8850006322482,???????????????? 150???,,,,,35000
8850006322512,???????????????? 35???,,,,,10000
8850006274019,???????????????? 35???,,,,,8500
8850006917183,???????????????? 35???  12????,,,,,95000
8850006911570,???????????????? 35???  12????,,,,,80000
8850006324776,???????????????????? 150???  6????,,,,,178000
