code,proname,qty,rate,thb_price,price
7& ກັອກນ້ອຍ  5 ຊອງ,25243,,,,113000
8859169900308,8859169900308,,,,16000
big boom,8850425006581,,,,4000
big boom,8850425005614,,,,4000
big boom,8850425005607,,,,4000
BUB UP,8934677055136,,,,1000
chupachups,8850939905431,,,,3000
chy cushion matte,25631,,,,25000
eco cutton,8851072030417,,,,18000
ETL 100000 kip,25031,,,,93000
ETL 20000 kip,25027,,,,20000
ETL 50000 kip,25029,,,,47000
filter,8859497303963,,,,28000
firiz c lime,8855011004392,,,,2000
friz c grape,8859284600237,,,,2000
friz c orange,8855011004385,,,,2000
friz c stawberry,8855011004415,,,,2000
Friz ວິຕາມິນຊີ,8855011004408,,,,2000
ganigr,8992304009204,,,,58000
gussen,8850425003191,,,,2000
hygiene blooming touch,8850092281106,,,,27000
hygiene moring fresh,8850092283100,,,,28000
hygiene rose woter,8850092290030,,,,28000
jele ACE,8850157100526,,,,10000
M100ກະປ໋ອງ,8851123240567,,,,12000
M100ກະປ໋ອງ 5ແພັກ,11913,,,,212000
M150ກະປ໋ອງ 6ກະປ໋ອງ,11914,,,,70000
M100ແກ້ວ,8851123240116,,,,9000
M150 ແກ້ວ /10ແກ້ວ,01234,,,,70000
M150ແກ້ວ 5ແພັກ,8851123212267,,,,325000
M150ກະປ໋ອງ,8851123240697,,,,13000
Mini staplers set,6970207137028,,,,25000
mnv 50++,6974845839689,,,,10000
mnv collagen,6972947341086,,,,19000
mnvຄີມກ່ອງຂາວ,6973641461780,,,,170000
mnvຄີມສະຫມຸນໄພ,6972947346289,,,,150000
mnvເຊລ້ຳກ່ອງ,6973641461797,,,,170000
moist clear nose  6,8858977011008,,,,145000
Mphone 10000 kip,25033,,,,10000
Mphone 100000 kip,25037,,,,93000
Mphone 5000 kip,25034,,,,5000
Mphone 50000 kip,25036,,,,47000
msport,8851123212199,,,,9000
paper clips,8851907130206,,,,12000
spy bink,8850382412050,,,,13000
spy bink 24,27389,,,,230000
spy black,8850382312077,,,,13000
spy black 24,27391,,,,230000
Stapler,6957871002074,,,,25000
stepler 10,8851907108830,,,,6000
stepler 369,6925722100507,,,,13000
sticko note,8851907106973,,,,15000
superman gummy,8938507472773,,,,12000
superman gummy,8938507472780,,,,12000
Unitel 10000 kip,25039,,,,10000
Unitel 100000 kip,25041,,,,93000
Unitel 50000 kip,25040,,,,47000
yofriend,8858694601902,,,,4000
zero Jelly,8858954210523,,,,4000
ກດນ້ຳຫອມໂອຊຽນເອາເຄັບ,8850175010487,,,,52000
ກ້ວຍ  13 ຖົງ,25915,,,,52000
ກ້ວຍຈືນ  1 ຖົງ,25916,,,,5000
ກ່ອງຂອງຂວັນນ່າລັກນ້ອຍ 12ກ່ອງ,8850094910615,,,,781000
ກ່ອງຂອງຂວັນໂຄໂດໂມະນ້ອຍ,8850002907638,,,,86000
ກ່ອງຂອງຂວັນໂຄໂດໂມະນ້ອຍ 12ກ່ອງ,12377,,,,915000
ກ່ອງສຸ່ມ,ກ່ອງສຸ່ມ,,,,4000
ຂອງຫລີ້ນແບບແຜງ 5ບາດ 12 ອັນ,ສ້າງບາໂຄດ,,,,37000
ກະຕ້າເບບີ້,ສ້າງບາໂຄດ,,,,4000
ກະຕ້າເບບີ້  12 ອັນ,ສ້າງບາໂຄດ,,,,37000
ກະທິກ່ອງໃຫຍ່,8850367100026,,,,50000
ກະທິງແດງກະປ໋ອງ,8850228000151,,,,13000
ກະທິງແດງກະປ໋ອງ 4 ແພັກ,8850228011072,,,,236000
ກະທິງແດງກະປ໋ອງ 6ກະປ໋ອງ,11920,,,,67000
ກະທິງແດງແກ້ວ,8850228000106,,,,9000
ກະທິງແດງແກ້ວ 10ແກ້ວ,11917,,,,67000
ກະທິງແດງແກ້ວ 5ແພັກ,11916,,,,263000
ກະທິຕຸກໄທລຽວ,8858135003906,,,,16000
ກະທິນ້ອຍ,8850367100019,,,,22000
ກະທິຜົງ,8852114531602,,,,13000
ກະປິ 1 ກິໂລ,8852375130200,,,,75000
ກະປິກຸ້ງໃຫຍ່ 340ກັມ,8852375340012,,,,35000
ກະປິມະນາວ 200ກັມ,8852375210117,,,,35000
ກະປິມະນາວ 75ກັມ 12 ກັບ,kapi1*12,,,,80000
ກະປິມະນາວກັມ,8852375757575,,,,8000
ກະຫລີ່ໄກ່,25762,,,,38000
ກັດເຊັນ,8850425003214,,,,4000
ກັນແດດເຈົ້ານາງ,13832,,,,38000
ກັບ3ສີ 95ກັມ,8885013131161,,,,12000
ກັບໄຟ 1 ກັບ,25922,,,,3000
ກັບໄຟ 10ກັບ,25921,,,,20000
ກັບໄຟ 25 ກັບ,25920,,,,38000
ກັບໄຟ 50ກັບ,25919,,,,75000
ກັມມີ່ແຄນດີ້ເບີເກີ້ຮັອດດັອກ 12 ອັນ,6971624841123,,,,37000
ກັມມີ່ແຄນດີ້ເບີເກີ້ຮັອດດັອກ 12 ອັນ,6971624841123,,,,37000
ກັມມີ່ໂລຂຽວ 12 ຫໍ່,8859708300651,,,,37000
ກັມມີ່ໂລມ່ວງ,8859708300583,,,,4000
ກັມມີ່ໂລມ່ວງ 12 ຫໍ່,8859708300590,,,,37000
ກັມມີ່ໂລໂຄລ່າ,8859708300613,,,,4000
ກັມມີ່ໂລໂຄລ່າ 12 ຫໍ່,8859708300620,,,,37000
ການິເຍ່ຊາຍອອຍຄອນໂທຣແບບຊອງ,8992304018503,,,,13000
ການິເຍ່ຊາຍອອຍຄອນໂທຣແບບຊອງ 6 ຊອງ,8850434024521,,,,55000
ການິເຍ່ຊາຍເທີໂບໄບແບບຊອງ,8992304056116,,,,13000
ການິເຍ່ຊາຍເທີໂບໄບແບບຊອງ 6 ຊອງ,8850434093817,,,,60000
ການິເຍ່ຊາຍແອັກໂນໄຟແບບຊອງ,8992304071027,,,,13000
ການິເຍ່ຊາຍແອັກໂນໄຟແບບຊອງ 6 ຊອງ,8850434093824,,,,60000
ການິເຍ່ບົວ,8992304033919,,,,13000
ການິເຍ່ບົວບູສເຕີເຊລ້ຳ30xໄຮຢາ,8850434197423,,,,19000
ການິເຍ່ບົວແບບຊອງກາງເວັນ 6 ຊອງ,8850434047285,,,,50000
ການິເຍ່ສີຍ້ອມຜົມສີນ້ຳຕານ,8901526594511,,,,36000
ການິເຍ່ສີຍ້ອມຜົມສີນ້ຳຕານ 6ຊອງ,8901526594863,,,,191000
ການິເຍ່ສີບົວແບບກ່ອງ,8992304033872,,,,106000
ການິເຍ່ສີເຫຼືອງແບບກ່ອງ,13850,,,,106000
ການິເຍ່ເມນ ອອຍຄອນໂທຮ,8994993001323,,,,59000
ການິເຍ່ເມນເທີໂບໄບ,8992304047435,,,,60000
ການິເຍ່ເຫຼືອງແບບຊອງກາງຄືນ,8850434128366,,,,13000
ການິເຍ່ເຫຼືອງແບບຊອງກາງຄືນ 6 ຊອງ,8992304094453,,,,69000
ການິເຍ່ເຫຼືອງແບບຊອງກາງເວັນ,8992304000010,,,,13000
ການິເຍ່ເຫຼືອງແບບຊອງກາງເວັນ 6 ຊອງ,8850434018384,,,,48000
ການິເຍ່ແດງແບບຊອງກາງຄືນ,8850434160281,,,,15000
ການິເຍ່ແດງແບບຊອງກາງຄືນ 6 ຊອງ,8994993003174,,,,79000
ການິເຍ່ແດງແບບຊອງກາງເວັນ,8992304078460,,,,13000
ການິເຍ່ແດງແບບຊອງກາງເວັນ 6 ຊອງ,8992304081989,,,,70000
ການິເຢ່ບົວກາງຄືນໄຮຢາ,8850434176985,,,,13000
ການິເຢ່ຢູວີສີເຫຼືອງ,8850434197416,,,,17000
ການິເຢ່ວິຕາມິນຊີ,8850434182504,,,,19000
ກາວນ້ຳ,8935001871019,,,,8000
ກາວລາເທັກ,8859513712281,,,,20000
ກາວແທ່ງ,8935001859154,,,,10000
ກາເຟຄຣິສບີ້ 45ກັມ,8885013130485,,,,10000
