code,proname,qty,cost,rate,thb_price,price
7& ກັອກນ້ອຍ  5 ຊອງ,25243,,,,,113000
8.85917E+12,8.85917E+12,,,,,16000
big boom,8.85043E+12,,,,,4000
big boom,8.85043E+12,,,,,4000
big boom,8.85043E+12,,,,,4000
BUB UP,8.93468E+12,,,,,1000
chupachups,8.85094E+12,,,,,3000
chy cushion matte,25631,,,,,25000
eco cutton,8.85107E+12,,,,,18000
ETL 100000 kip,25031,,,,,93000
ETL 20000 kip,25027,,,,,20000
ETL 50000 kip,25029,,,,,47000
filter,8.8595E+12,,,,,28000
firiz c lime,8.85501E+12,,,,,2000
friz c grape,8.85928E+12,,,,,2000
friz c orange,8.85501E+12,,,,,2000
friz c stawberry,8.85501E+12,,,,,2000
Friz ວິຕາມິນຊີ,8.85501E+12,,,,,2000
ganigr,8.9923E+12,,,,,58000
gussen,8.85043E+12,,,,,2000
hygiene blooming touch,8.85009E+12,,,,,27000
hygiene moring fresh,8.85009E+12,,,,,28000
hygiene rose woter,8.85009E+12,,,,,28000
jele ACE,8.85016E+12,,,,,10000
M100ກະປ໋ອງ,8.85112E+12,,,,,12000
M100ກະປ໋ອງ 5ແພັກ,11913,,,,,212000
M150ກະປ໋ອງ 6ກະປ໋ອງ,11914,,,,,70000
M100ແກ້ວ,8.85112E+12,,,,,9000
M150 ແກ້ວ /10ແກ້ວ,1234,,,,,70000
M150ແກ້ວ 5ແພັກ,8.85112E+12,,,,,325000
M150ກະປ໋ອງ,8.85112E+12,,,,,13000
Mini staplers set,6.97021E+12,,,,,25000
mnv 50++,6.97485E+12,,,,,10000
mnv collagen,6.97295E+12,,,,,19000
mnvຄີມກ່ອງຂາວ,6.97364E+12,,,,,170000
mnvຄີມສະຫມຸນໄພ,6.97295E+12,,,,,150000
mnvເຊລ້ຳກ່ອງ,6.97364E+12,,,,,170000
moist clear nose  6,8.85898E+12,,,,,145000
Mphone 10000 kip,25033,,,,,10000
Mphone 100000 kip,25037,,,,,93000
Mphone 5000 kip,25034,,,,,5000
Mphone 50000 kip,25036,,,,,47000
msport,8.85112E+12,,,,,9000
paper clips,8.85191E+12,,,,,12000
spy bink,8.85038E+12,,,,,13000
spy bink 24,27389,,,,,230000
spy black,8.85038E+12,,,,,13000
spy black 24,27391,,,,,230000
Stapler,6.95787E+12,,,,,25000
stepler 10,8.85191E+12,,,,,6000
stepler 369,6.92572E+12,,,,,13000
sticko note,8.85191E+12,,,,,15000
superman gummy,8.93851E+12,,,,,12000
superman gummy,8.93851E+12,,,,,12000
