code,name,qty,cost,rate,thb_price,price
25243,7& ກັອກນ້ອຍ  5 ຊອງ,,,,,113000
8859170000000,8.85917E+12,,,,,16000
8850430000000,big boom,,,,,4000
8850430000000,big boom,,,,,4000
8850430000000,big boom,,,,,4000
8934680000000,BUB UP,,,,,1000
8850940000000,chupachups,,,,,3000
25631,chy cushion matte,,,,,25000
8851070000000,eco cutton,,,,,18000
25031,ETL 100000 kip,,,,,93000
25027,ETL 20000 kip,,,,,20000
25029,ETL 50000 kip,,,,,47000
8859500000000,filter,,,,,28000
8855010000000,firiz c lime,,,,,2000
8859280000000,friz c grape,,,,,2000
8855010000000,friz c orange,,,,,2000
8855010000000,friz c stawberry,,,,,2000
8855010000000,Friz ວິຕາມິນຊີ,,,,,2000
8992300000000,ganigr,,,,,58000
8850430000000,gussen,,,,,2000
8850090000000,hygiene blooming touch,,,,,27000
8850090000000,hygiene moring fresh,,,,,28000
8850090000000,hygiene rose woter,,,,,28000
8850160000000,jele ACE,,,,,10000
8851120000000,M100ກະປ໋ອງ,,,,,12000
11913,M100ກະປ໋ອງ 5ແພັກ,,,,,212000
11914,M150ກະປ໋ອງ 6ກະປ໋ອງ,,,,,70000
8851120000000,M100ແກ້ວ,,,,,9000
01234,M150 ແກ້ວ /10ແກ້ວ,,,,,70000
8851120000000,M150ແກ້ວ 5ແພັກ,,,,,325000
8851120000000,M150ກະປ໋ອງ,,,,,13000
6970210000000,Mini staplers set,,,,,25000
6974850000000,mnv 50++,,,,,10000
6972950000000,mnv collagen,,,,,19000
6973640000000,mnvຄີມກ່ອງຂາວ,,,,,170000
6972950000000,mnvຄີມສະຫມຸນໄພ,,,,,150000
6973640000000,mnvເຊລ້ຳກ່ອງ,,,,,170000
8858980000000,moist clear nose  6,,,,,145000
25033,Mphone 10000 kip,,,,,10000
25037,Mphone 100000 kip,,,,,93000
25034,Mphone 5000 kip,,,,,5000
25036,Mphone 50000 kip,,,,,47000
8851120000000,msport,,,,,9000
8851910000000,paper clips,,,,,12000
8850380000000,spy bink,,,,,13000
27389,spy bink 24,,,,,230000
8850380000000,spy black,,,,,13000
27391,spy black 24,,,,,230000
6957870000000,Stapler,,,,,25000
8851910000000,stepler 10,,,,,6000
6925720000000,stepler 369,,,,,13000
8851910000000,sticko note,,,,,15000
8938510000000,superman gummy,,,,,12000
8938510000000,superman gummy,,,,,12000
25039,Unitel 10000 kip,,,,,10000
25041,Unitel 100000 kip,,,,,93000
25040,Unitel 50000 kip,,,,,47000
8858690000000,yofriend,,,,,4000
8858950000000,zero Jelly,,,,,4000
8850180000000,ກດນ້ຳຫອມໂອຊຽນເອາເຄັບ,,,,,52000
25915,ກ້ວຍ  13 ຖົງ,,,,,52000
25916,ກ້ວຍຈືນ  1 ຖົງ,,,,,5000
8850090000000,ກ່ອງຂອງຂວັນນ່າລັກນ້ອຍ 12ກ່ອງ,,,,,781000
8850000000000,ກ່ອງຂອງຂວັນໂຄໂດໂມະນ້ອຍ,,,,,86000
12377,ກ່ອງຂອງຂວັນໂຄໂດໂມະນ້ອຍ 12ກ່ອງ,,,,,915000
ກ່ອງສຸ່ມ,ກ່ອງສຸ່ມ,,,,,4000
ສ້າງບາໂຄດ,ຂອງຫລີ້ນແບບແຜງ 5ບາດ 12 ອັນ,,,,,37000
ສ້າງບາໂຄດ,ກະຕ້າເບບີ້,,,,,4000
ສ້າງບາໂຄດ,ກະຕ້າເບບີ້  12 ອັນ,,,,,37000
8850370000000,ກະທິກ່ອງໃຫຍ່,,,,,50000
8850230000000,ກະທິງແດງກະປ໋ອງ,,,,,13000
8850230000000,ກະທິງແດງກະປ໋ອງ 4 ແພັກ,,,,,236000
11920,ກະທິງແດງກະປ໋ອງ 6ກະປ໋ອງ,,,,,67000
8850230000000,ກະທິງແດງແກ້ວ,,,,,9000
11917,ກະທິງແດງແກ້ວ 10ແກ້ວ,,,,,67000
11916,ກະທິງແດງແກ້ວ 5ແພັກ,,,,,263000
8858140000000,ກະທິຕຸກໄທລຽວ,,,,,16000
8850370000000,ກະທິນ້ອຍ,,,,,22000
8852110000000,ກະທິຜົງ,,,,,13000
8852380000000,ກະປິ 1 ກິໂລ,,,,,75000
8852380000000,ກະປິກຸ້ງໃຫຍ່ 340ກັມ,,,,,35000
8852380000000,ກະປິມະນາວ 200ກັມ,,,,,35000
kapi1*12,ກະປິມະນາວ 75ກັມ 12 ກັບ,,,,,80000
8852380000000,ກະປິມະນາວກັມ,,,,,8000
25762,ກະຫລີ່ໄກ່,,,,,38000
8850430000000,ກັດເຊັນ,,,,,4000
13832,ກັນແດດເຈົ້ານາງ,,,,,38000
8885010000000,ກັບ3ສີ 95ກັມ,,,,,12000
25922,ກັບໄຟ 1 ກັບ,,,,,3000
25921,ກັບໄຟ 10ກັບ,,,,,20000
25920,ກັບໄຟ 25 ກັບ,,,,,38000
25919,ກັບໄຟ 50ກັບ,,,,,75000
6971620000000,ກັມມີ່ແຄນດີ້ເບີເກີ້ຮັອດດັອກ 12 ອັນ,,,,,37000
6971620000000,ກັມມີ່ແຄນດີ້ເບີເກີ້ຮັອດດັອກ 12 ອັນ,,,,,37000
8859710000000,ກັມມີ່ໂລຂຽວ 12 ຫໍ່,,,,,37000
8859710000000,ກັມມີ່ໂລມ່ວງ,,,,,4000
8859710000000,ກັມມີ່ໂລມ່ວງ 12 ຫໍ່,,,,,37000
8859710000000,ກັມມີ່ໂລໂຄລ່າ,,,,,4000
8859710000000,ກັມມີ່ໂລໂຄລ່າ 12 ຫໍ່,,,,,37000
8992300000000,ການິເຍ່ຊາຍອອຍຄອນໂທຣແບບຊອງ,,,,,13000
8850430000000,ການິເຍ່ຊາຍອອຍຄອນໂທຣແບບຊອງ 6 ຊອງ,,,,,55000
8992300000000,ການິເຍ່ຊາຍເທີໂບໄບແບບຊອງ,,,,,13000
8850430000000,ການິເຍ່ຊາຍເທີໂບໄບແບບຊອງ 6 ຊອງ,,,,,60000
8992300000000,ການິເຍ່ຊາຍແອັກໂນໄຟແບບຊອງ,,,,,13000
8850430000000,ການິເຍ່ຊາຍແອັກໂນໄຟແບບຊອງ 6 ຊອງ,,,,,60000
8992300000000,ການິເຍ່ບົວ,,,,,13000
8850430000000,ການິເຍ່ບົວບູສເຕີເຊລ້ຳ30xໄຮຢາ,,,,,19000
8850430000000,ການິເຍ່ບົວແບບຊອງກາງເວັນ 6 ຊອງ,,,,,50000
