barcode,name,qty,ton theun,rate,thb_price,product_price_convert,price_song
11811,ນົມງົວແດງຫວານ250ມລ  6ແພັກ,,335000,,,418750,
8852537012269,ນົມງົວແດງຫວານ250ມລ 6ກ່ອງ,,54000,,,56000,
8850952432303,ນົມດີໂດ້ຂຽວ,,3000,,,5000,
8850952643235,ນົມດີໂດ້ຂຽວ 6ກ່ອງ,,18000,,,18000,
8850952431603,ນົມດີໂດ້ຄິດນ້ອຍສົ້ມ115ມລ,,2680,,,5000,
11853,ນົມດີໂດ້ຄິດນ້ອຍສົ້ມ115ມລ 10ແພັກ,,160800,,,166000,
8850952643167,ນົມດີໂດ້ຄິດນ້ອຍສົ້ມ115ມລ 6ກ່ອງ,,16080,,,18000,
8850952431702,ນົມດີໂດ້ຄິດນ້ອຍແດງ115ມລ,,2680,,,5000,
11856,ນົມດີໂດ້ຄິດນ້ອຍແດງ115ມລ 10ແພັກ,,160800,,,166000,
11865,ນົມດີໂດ້ຄິດນ້ອຍແດງ115ມລ 10ແພັກ,,160800,,,166000,
8850952643174,ນົມດີໂດ້ຄິດນ້ອຍແດງ115ມລ 6ກ່ອງ,,16080,,,18000,
11866,ນົມດີໂດ້ຄິດນ້ອຍແດງ115ມລ 6ກ່ອງ,,16080,,,19000,
8850952012338,ນົມດີໂດ້ຕຸກນ້ອຍຂຽວ150ມລ,,2931,,,5000,
8850952923016,ນົມດີໂດ້ຕຸກນ້ອຍຂຽວ150ມລ 6ກ່ອງ,,17588,,,20000,
11879,ນົມດີໂດ້ຕຸກນ້ອຍຂຽວ150ມລ 8ແພັກ,,140700,,,146000,
8850952011737,ນົມດີໂດ້ຕຸກນ້ອຍບົວ150ມລ,,2931,,,5000,
8850952917015,ນົມດີໂດ້ຕຸກນ້ອຍບົວ150ມລ 6ກ່ອງ,,17588,,,20000,
11882,ນົມດີໂດ້ຕຸກນ້ອຍບົວ150ມລ 8ແພັກ,,140700,,,146000,
8850952011935,ນົມດີໂດ້ຕຸກນ້ອຍມ່ວງ150ມລ,,2931,,,5000,
8850952919019,ນົມດີໂດ້ຕຸກນ້ອຍມ່ວງ150ມລ 6ກ່ອງ,,17588,,,20000,
11876,ນົມດີໂດ້ຕຸກນ້ອຍມ່ວງ150ມລ 8ແພັກ,,140700,,,146000,
8850952011638,ນົມດີໂດ້ຕຸກນ້ອຍສົ້ມ 150ມລ,,3800,,,5000,
8850952916018,ນົມດີໂດ້ຕຸກນ້ອຍສົ້ມ 150ມລ 6ຕູກ,,17588,,,20000,
8851717902611,ນົມດີໄລຕຸກນ້ອຍຟ້າ400ມລ,,17000,,,22000,
8851717902598,ນົມດີໄລຕຸກນ້ອຍແດງ400ມລ,,17000,,,22000,
11892,ນົມດີໄລຕຸກໃຫຍ່ຟ້າ400ມລ,,26000,,,18000,
8851717902604,ນົມດີໄລຕຸກໃຫຍ່ແດງ400ມລ,,27000,,,30000,
8858705607183,ນົມທີພອດກະປ໋ອງ 380 g,,12707,,,15000,
8858705609286,ນົມທີພອນ 8 ຫຼອດ,,107700,,,110000,
8858705607572,ນົມທີພອນຫຼອດ,,15600,,,18000,
8857126180008,ນົມມິກກີ້,,10950,,,13000,
8850952217146,ນົມມິກຄຸຕຸກນ້ອຍຂຽວ300ມລ,,6002,,,9000,
8850952921715,ນົມມິກຄຸຕຸກນ້ອຍຂຽວ300ມລ 6ກ່ອງ,,36013,,,40000,
11873,ນົມມິກຄຸຕຸກນ້ອຍຂຽວ300ມລ 8ແພັກ,,288100,,,294000,
8850952215746,ນົມມິກຄຸຕຸກນ້ອຍຟ້າ300ມລ,,6002,,,9000,
8850952921579,ນົມມິກຄຸຕຸກນ້ອຍຟ້າ300ມລ 6ກ່ອງ,,36013,,,40000,
11870,ນົມມິກຄຸຕຸກນ້ອຍຟ້າ300ມລ 8ແພັກ,,288100,,,294000,
8850952921722,ນົມມິກຄຸຕຸກບົວ300ມລ 6ກ່ອງ,,36015,,,40000,
8850952217245,ນົມມິກຄຸບົວ300ມລ,,6002,,,9000,
8850952435700,ນົມມິກຄຸຟ້ານ້ອຍ115ມລ,,2680,,,5000,
11859,ນົມມິກຄຸຟ້ານ້ອຍ115ມລ 10ແພັກ,,160800,,,166000,
11860,ນົມມິກຄຸຟ້ານ້ອຍ115ມລ 6ກ່ອງ,,16080,,,19000,
8850952219744,ນົມມິກຄຸມ່ວງ 300ມລ,,6000,,,90008857121972000,
11864,ນົມມິກຄຸສົ້ມນ້ອຍ115ມລ,,2680,,,5000,
11862,ນົມມິກຄຸສົ້ມນ້ອຍ115ມລ 10ແພັກ,,160800,,,166000,
11863,ນົມມິກຄຸສົ້ມນ້ອຍ115ມລ 6ກ່ອງ,,16080,,,19000,
7612100061015,ນົມໂອວັນຕິນນ້ອຍ 100ມລ,,5165,,,6000,
7612100061015,ນົມໂອວັນຕິນນ້ອຍ 100ມລ,,5165,,,6000,
11845,ນົມໂອວັນຕິນນ້ອຍ 100ມລ 12ແພັກ,,247900,,,253000,
7612100061022,ນົມໂອວັນຕິນນ້ອຍ 100ມລ 4ກ່ອງ,,20658,,,23000,
8850086241659,ນົມໂອວັນຕິນໃຫຍ່ 165ມລ ເຢັນ,,6281,,,9000,
11841,ນົມໂອວັນຕິນໃຫຍ່ 165ມລ 12ແພັກ,,301500,,,307000,
